,Unnamed: 0,title,author,release year,book length,rating,number of ratings
3,3,"Twilight (The Twilight Saga, #1)",Stephenie Meyer,2005,498.0,3.63,5901197
4,4,The Hating Game (Paperback),Sally  Thorne,2016,365.0,3.98,537504
5,5,Beach Read (Paperback),Emily Henry,2020,361.0,4.06,607628
8,8,The Love Hypothesis (Paperback),Ali Hazelwood,2021,356.0,4.29,724017
10,10,People We Meet on Vacation (Paperback),Emily Henry,2021,373.0,3.97,658406
12,12,"Me Before You (Me Before You, #1)",Jojo Moyes,2012,369.0,4.26,1436094
14,14,Eleanor & Park (Hardcover),Rainbow Rowell,2012,328.0,3.97,1066165
15,15,"Outlander (Outlander, #1)",Diana Gabaldon,1991,850.0,4.25,957461
20,20,Book Lovers (Hardcover),Emily Henry,2022,384.0,4.28,390789
22,22,Jane Eyre (Paperback),Charlotte Brontë,1847,532.0,4.14,1896342
25,25,"The Duke and I (Bridgertons, #1)",Julia Quinn,2000,384.0,3.82,356433
27,27,"The Spanish Love Deception (Spanish Love Deception, #1)",Elena  Armas,2021,487.0,3.97,377868
29,29,"The Flatshare (The Flatshare, #1)",Beth O'Leary,2019,394.0,4.04,276885
31,31,The Time Traveler's Wife (ebook),Audrey Niffenegger,2004,537.0,3.99,1703714
32,32,"Beautiful Disaster (Beautiful, #1)",Jamie McGuire,2011,319.0,4.04,628815
34,34,"The Bride Test (The Kiss Quotient, #2)",Helen Hoang,2019,296.0,3.87,131144
36,36,"The Viscount Who Loved Me (Bridgertons, #2)",Julia Quinn,2000,354.0,4.04,259483
37,37,"A Court of Mist and Fury (A Court of Thorns and Roses, #2)",Sarah J. Maas,2016,624.0,4.62,816759
40,40,Wuthering Heights (Paperback),Emily Brontë,1847,464.0,3.88,1606402
41,41,"Heartstopper: Volume One (Heartstopper, #1)",Alice Oseman,2018,288.0,4.53,430677
42,42,Sense and Sensibility (Paperback),Jane Austen,1811,409.0,4.08,1092091
48,48,Emma (Paperback),Jane Austen,1815,474.0,4.04,784651
50,50,"Take a Hint, Dani Brown (The Brown Sisters, #2)",Talia Hibbert,2020,400.0,4.06,75803
52,52,The Night Circus (Hardcover),Erin Morgenstern,2011,387.0,4.03,849454
53,53,Love and Other Words (Hardcover),Christina Lauren,2018,432.0,4.35,215451
54,54,"Everything, Everything (Hardcover)",Nicola Yoon,2015,312.0,4.0,539107
56,56,The Wall of Winnipeg and Me (Kindle Edition),Mariana Zapata,2016,537.0,4.27,181562
57,57,"Bared to You (Crossfire, #1)",Sylvia Day,2012,352.0,4.16,498707
59,59,"P.S. I Still Love You (To All the Boys I've Loved Before, #2)",Jenny Han,2015,337.0,4.05,321648
63,63,Josh and Hazel's Guide to Not Dating (Paperback),Christina Lauren,2018,309.0,4.01,117753
66,66,The Soulmate Equation (Paperback),Christina Lauren,2021,416.0,4.04,136796
71,71,"Aristotle and Dante Discover the Secrets of the Universe (Aristotle and Dante, #1)",Benjamin Alire Sáenz,2012,359.0,4.34,476866
74,74,"Wallbanger (Cocktail, #1)",Alice Clayton,2012,384.0,4.01,198768
75,75,Punk 57 (Kindle Edition),Penelope Douglas,2016,343.0,3.85,262165
77,77,"Act Your Age, Eve Brown (The Brown Sisters, #3)",Talia Hibbert,2021,400.0,4.16,64493
78,78,Archer's Voice (ebook),Mia Sheridan,2014,345.0,4.33,183482
79,79,The Sun Is Also a Star (Hardcover),Nicola Yoon,2016,384.0,4.01,281659
83,83,"If I Stay (If I Stay, #1)",Gayle Forman,2009,201.0,3.93,826176
84,84,"The Summer I Turned Pretty (Summer, #1)",Jenny Han,2009,276.0,3.84,396929
86,86,"Call Me By Your Name (Call Me By Your Name, #1)",André Aciman,2007,248.0,4.13,389241
88,88,The Invisible Life of Addie LaRue (Hardcover),V.E. Schwab,2020,444.0,4.22,686794
90,90,"From Blood and Ash (Blood and Ash, #1)",Jennifer L. Armentrout,2020,622.0,4.29,325849
91,91,Confess (Paperback),Colleen Hoover,2015,320.0,4.2,273781
93,93,"Heartstopper: Volume Three (Heartstopper, #3)",Alice Oseman,2020,384.0,4.63,273686
